cell_type	gene	n_frail	n_healthy_old_non_frail	log2cpm_difference	p_value	adj_p_value_bh	test
B	KCNK12	5	6	1.103784711575196	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CD82	5	6	-0.7275385718334686	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TUBB	5	6	-0.6318122910943087	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CD19	5	6	0.763920300551236	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZMYM5	5	6	-0.6229352954051048	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MACROD2	5	6	1.3832878392733545	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	OPN3	5	6	1.8063002686593284	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MICU2	5	6	-0.5578282963040531	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZFR	5	6	-0.6802324750643711	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TSPAN14	5	6	-1.0144696541566578	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KLHL9	5	6	-0.5759488065548828	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DGKE	5	6	-1.0557714449659517	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	NELFA	5	6	-0.5787034343140682	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RASA3	5	6	-0.7249812125003503	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	GOLGA3	5	6	-0.6916963023447122	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	IFNALuo2022	5	6	-0.6007319683785806	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BCL7B	5	6	0.9822683427151819	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	NSUN5	5	6	-0.5509402648149537	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MRPL57	5	6	-0.5358950792871084	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TUBGCP3	5	6	-0.8006357674068969	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TFDP1	5	6	2.1443827387077588	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	LAMP1	5	6	1.0124541538199834	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BRD8	5	6	-1.2978645919188057	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FOXN2	5	6	-1.4077511296980396	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	LUC7L3	5	6	-1.0270953988376537	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MYH11	5	6	-1.2635919466583427	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TNKS2	5	6	-0.9585801892573409	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TROVE2	5	6	-0.44134811155477394	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RGS2	5	6	1.8596415445848047	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CD44	5	6	-0.6323423354709377	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TRIM37	5	6	-1.0207583420634947	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	EGLuo2022	5	6	1.3257492785330491	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RNPC3	5	6	-0.7007437890925434	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
