cell_type	gene	n_donors	n_frail	n_healthy_old_non_frail	n_F_series	n_OH_series	coef_frail_vs_healthy_adjusted_for_OH	ci95_low	ci95_high	p_value_group	coef_OH_platform	p_value_platform	r_squared	test	adj_p_value_bh_group
Monocyte_CD14	FLII	11	5	6	8	3	-0.6654328757050414	-1.1158096605075283	-0.21505609090255462	0.009262374043803995	-0.3599266339017122	0.13789806655786155	0.5939926331375656	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	SLC35E1	11	5	6	8	3	-0.8910145185948087	-1.4941062584415015	-0.287922778748116	0.009265258224375529	-0.7035424732949895	0.0427682899378278	0.5994592361389361	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	KIAA0556	11	5	6	8	3	-0.8624162652546741	-1.4461941368943014	-0.2786383936150467	0.009268705476513303	-0.054711724724852306	0.8515394924596894	0.6647667178925929	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06693239943755551
Monocyte_CD14	AD000671.6	11	5	6	8	3	0.5408873807163037	0.17465485751212972	0.9071199039204777	0.00928153820313851	-0.09505924849338765	0.6069609804030891	0.7168462716764632	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06696052322757483
Monocyte_CD14	ZMYM4	11	5	6	8	3	-1.2266793551081487	-2.0572648730271865	-0.39609383718911073	0.009281886549609743	-0.8279878867649244	0.07380546528325994	0.5925130963709677	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06696052322757483
Monocyte_CD14	FAM98C	11	5	6	8	3	-0.6698295392076778	-1.1234649225867268	-0.2161941558286289	0.009291499943751455	-0.6281710343819942	0.021278002947818325	0.617483682680865	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06699636034441986
Monocyte_CD14	IDS	11	5	6	8	3	-0.5324368647689118	-0.8931948096180634	-0.17167891991976025	0.009313611560603808	0.6266235888676599	0.007161340374195113	0.8737086380925736	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06712223504021364
Monocyte_CD14	ABHD2	11	5	6	8	3	-0.875603085615264	-1.468945302228844	-0.282260869001684	0.009319026654691585	0.3260186068998321	0.28990974697561867	0.757458997336295	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.067127713979674
Monocyte_CD14	PPP1R3B	11	5	6	8	3	1.2412613807485446	0.40002738405214866	2.082495377444941	0.009325030453993468	2.542654287476037	0.0002499763342369094	0.8293304456770523	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06713742594959551
Monocyte_CD14	CD46	11	5	6	8	3	-1.0843771954260704	-1.819385473964258	-0.34936891688788263	0.009331326883602045	-0.7422600394663306	0.07079503640774042	0.592295043975587	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06714923402616023
Monocyte_CD14	KLHL36	11	5	6	8	3	-0.9367837317318328	-1.5720738242940056	-0.3014936391696602	0.009355223017668663	-0.11867488592143349	0.7100621164245642	0.6507103385284767	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06728761652758093
Monocyte_CD14	TPR	11	5	6	8	3	-1.1364347853546048	-1.9072460736515946	-0.3656234970576151	0.009362894003255589	-0.19074141779062526	0.6235596039076774	0.6423753586190234	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06730921955181897
Monocyte_CD14	TMEM135	11	5	6	8	3	-1.12632515691158	-1.8905604845006492	-0.36208982932251066	0.00938022408651042	-0.004385566474295111	0.9908463284578378	0.6765747185123527	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06739490185426905
Monocyte_CD14	RP11-405M12.3	11	5	6	8	3	1.63559434825652	0.5257079947093333	2.745480701803707	0.009384521905906277	0.4795480746699702	0.3988487062535212	0.6195483965546051	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06739490185426905
Monocyte_CD14	FAM110A	11	5	6	8	3	-0.8008492112083104	-1.3444093987272603	-0.2572890236893606	0.009394731903728063	-0.044037894632025676	0.8714357072891028	0.6653764109867941	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06739490185426905
Monocyte_CD14	PHF21A	11	5	6	8	3	-1.0677613737828522	-1.7925228535400153	-0.3429998940256891	0.009397341869636262	-0.9568040787467487	0.026130883656921393	0.610305441041103	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06739490185426905
Monocyte_CD14	MCM3AP	11	5	6	8	3	-0.883064304770138	-1.4824700920062317	-0.28365851753404425	0.009398179573464744	-0.2501641706210753	0.41439369191082087	0.6210270935587334	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06739490185426905
Monocyte_CD14	WDR91	11	5	6	8	3	-0.848402592163759	-1.4243606146365524	-0.27244456969096553	0.009404731708594778	0.9187127910890167	0.011022273455418858	0.8637158665643163	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06740836777815372
Monocyte_CD14	DHX32	11	5	6	8	3	-1.3782254183022824	-2.3141101461134097	-0.4423406904911552	0.009417060581763245	0.18163115968363774	0.6994204430892791	0.7060761553101853	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06746320449558259
Monocyte_CD14	UBL4A	11	5	6	8	3	-1.1504013906291222	-1.9318575046811344	-0.36894527657710996	0.009433747237202514	-0.1671016037626516	0.6708578767094605	0.646182747217636	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06754919012298782
Monocyte_CD14	C7orf60	11	5	6	8	3	-1.2638419054931882	-2.1228122253689357	-0.40487158561744085	0.009458887769957304	-1.2288198639680568	0.01840787734939133	0.621348725744058	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06759408728369899
Monocyte_CD14	CFAP58-AS1	11	5	6	8	3	1.6447953705632494	0.5268910760660113	2.7626996650604876	0.009459690616937399	0.024387373246832933	0.9652140617925553	0.6734532060718232	OLS donor pseudobulk log2CPM ~ frail_indicator + OH_platform_indicator	0.06759408728369899
